Dataset,City,Model,MAE,MSE,RMSE,R2
Kupno (Sale),Krakow,Linear Regression,148445.71727554116,43355166949.869255,208219.0359930361,0.7182149928926342
Kupno (Sale),Krakow,Random Forest,43883.56493327079,6726522545.975034,82015.37993556474,0.9562812615710352
Kupno (Sale),Krakow,Gradient Boosting,120528.29776956074,29511761403.144436,171789.87572946327,0.8081896004148356
Kupno (Sale),Krakow,KNN,76428.76551842921,16730611862.15509,129346.86645665248,0.8912601215919855
Kupno (Sale),Krakow,SVR,267783.48540377733,164329781328.10117,405376.0986147323,-0.06805421030976988
Kupno (Sale),Lodz,Linear Regression,71102.80141227279,8613024356.33478,92806.38101087004,0.6765097459160396
Kupno (Sale),Lodz,Random Forest,23793.59337970929,1851918494.5493803,43033.92260240031,0.930445153808958
Kupno (Sale),Lodz,Gradient Boosting,59831.405474623236,6099209757.955105,78097.43758891904,0.7709242615967847
Kupno (Sale),Lodz,KNN,43048.08777777778,4632652069.115542,68063.58842373463,0.8260056243985243
Kupno (Sale),Lodz,SVR,124668.04553524283,28463531131.678013,168711.38411997576,-0.06904085452180331
Kupno (Sale),Lublin,Linear Regression,71582.44532766486,8428175417.915083,91805.09472744464,0.6531479085585117
Kupno (Sale),Lublin,Random Forest,23908.321714268695,1898127859.7902782,43567.50922178451,0.921884680212971
Kupno (Sale),Lublin,Gradient Boosting,56699.618898318266,5312097186.223399,72884.13535347318,0.781386607703305
Kupno (Sale),Lublin,KNN,41342.84715162138,4342318401.00666,65896.2700082991,0.8212967641973212
Kupno (Sale),Lublin,SVR,120495.96043696422,24818307799.543724,157538.27407821798,-0.0213695775733882
Kupno (Sale),Poznan,Linear Regression,93552.1793452908,15418086560.422169,124169.58790469657,0.639083507427981
Kupno (Sale),Poznan,Random Forest,31564.970324394584,3594171512.998157,59951.40959975968,0.9158653201815957
Kupno (Sale),Poznan,Gradient Boosting,77195.11873613804,11184187657.446918,105755.31975956065,0.7381933376898566
Kupno (Sale),Poznan,KNN,59508.42907203115,9086066646.61046,95320.86154987512,0.7873075045649205
Kupno (Sale),Poznan,SVR,158558.04355080545,44436652333.957634,210800.0292551157,-0.04020175520243474
Kupno (Sale),Radom,Linear Regression,47187.23265177531,3840528980.6371512,61972.001586499944,0.6704842192154549
Kupno (Sale),Radom,Random Forest,11738.353662447722,511520310.73568445,22616.814778736738,0.9561117712093768
Kupno (Sale),Radom,Gradient Boosting,32529.060150710528,1781476358.084408,42207.53911429104,0.8471500733250545
Kupno (Sale),Radom,KNN,24925.910921501705,1812262897.104505,42570.681191455056,0.8445086011492143
Kupno (Sale),Radom,SVR,82202.49945272539,11944234752.312677,109289.68273498042,-0.024810347773824182
Kupno (Sale),Rzeszow,Linear Regression,70678.85822014885,8789917228.533747,93754.55844135658,0.6365958201121575
Kupno (Sale),Rzeszow,Random Forest,23156.215511844493,1789261481.920262,42299.66290551572,0.9260260268058744
Kupno (Sale),Rzeszow,Gradient Boosting,42831.73730985539,3285701871.9335,57321.04213928337,0.8641582436920034
Kupno (Sale),Rzeszow,KNN,40633.21329639889,3900146562.6535177,62451.15341331589,0.8387550728643306
Kupno (Sale),Rzeszow,SVR,118365.92648721757,24932810783.987507,157901.26910189007,-0.03080466171410734
Kupno (Sale),Szczecin,Linear Regression,93260.5747768342,15119890371.099516,122962.96341215722,0.4784480287702224
Kupno (Sale),Szczecin,Random Forest,26933.15106357907,2880472531.5858617,53670.03383253882,0.9006397473758544
Kupno (Sale),Szczecin,Gradient Boosting,70989.72904427232,9392508045.291006,96914.95264040017,0.6760108065878232
Kupno (Sale),Szczecin,KNN,47316.518074191,6138886461.677411,78351.04633428587,0.7882426223563407
